,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12,gtot_dm,englishmarks_12_dm
127,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_34,2010021148,2010021148,708.0,501903_mec,96.0,-123.39999999999998,7.200000000000003
128,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_34,2010024135,2010024135,904.0,501502_bpc,95.0,72.60000000000002,6.200000000000003
129,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_34,2010025371,2010025371,958.0,501502_bpc,93.0,126.60000000000002,4.200000000000003
130,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010015453,2010015453,949.0,501502_bpc,90.0,74.08333333333337,1.8333333333333286
131,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010015662,2010015662,940.0,501502_bpc,91.0,65.08333333333337,2.8333333333333286
132,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010045717,2010045717,895.0,501502_bpc,80.0,20.08333333333337,-8.166666666666671
133,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010034185,2010034185,925.0,501502_bpc,81.0,50.08333333333337,-7.166666666666671
134,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010019918,2010019918,878.0,501502_bpc,88.0,3.0833333333333712,-0.1666666666666714
135,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010020220,2010020220,974.0,501502_bpc,95.0,99.08333333333337,6.833333333333329
136,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010022160,2010022160,793.0,501903_mec,98.0,-81.91666666666663,9.833333333333329
137,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010022612,2010022612,945.0,501502_bpc,95.0,70.08333333333337,6.833333333333329
138,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010022924,2010022924,493.0,501903_mec,72.0,-381.91666666666663,-16.16666666666667
139,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010010830,2010010830,951.0,501502_bpc,93.0,76.08333333333337,4.833333333333329
140,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010011311,2010011311,895.0,501502_bpc,94.0,20.08333333333337,5.833333333333329
141,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_35_39,2010012843,2010012843,861.0,501502_bpc,81.0,-13.916666666666629,-7.166666666666671
142,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_44,2010000038,2010000038,942.0,501502_bpc,90.0,38.35294117647061,3.764705882352942
