college_stream,value_added,std_error,t_value,p_value,ci_lower,ci_upper,college_code,stream,sig
511802_bpc_bpc,-8.518385046213128,1.2987732301827288,-6.558793212125759,5.42449616015336e-11,-11.063933801456026,-5.97283629097023,511802_bpc,bpc,***
514602_bpc_bpc,-9.318259424720063,1.2079331817528867,-7.7142176119360455,1.2172662890720939e-14,-11.685764956686596,-6.95075389275353,514602_bpc,bpc,***
512701_mpc_mpc,-9.440550723637955,0.9425047948479286,-10.016448484128052,1.2905736929434383e-23,-11.287826176796207,-7.593275270479703,512701_mpc,mpc,***
503002_bpc_bpc,-9.56025657555459,0.9614131901049615,-9.943962360773162,2.679518860643953e-23,-11.444591802422075,-7.675921348687105,503002_bpc,bpc,***
507002_bpc_bpc,-9.621538667487291,1.0316154146037433,-9.326672063331904,1.0924724353736789e-20,-11.643467726006984,-7.599609608967599,507002_bpc,bpc,***
506002_bpc_bpc,-9.872485764754273,1.1793033464108074,-8.371455736813637,5.691074906616635e-17,-12.183877850567018,-7.561093678941528,506002_bpc,bpc,***
504002_bpc_bpc,-10.027194446935683,1.1923806173162235,-8.409390677202225,4.121461698312627e-17,-12.364217512739117,-7.690171381132249,504002_bpc,bpc,***
511901_mpc_mpc,-10.38532873251231,1.4957310401027828,-6.943312971427441,3.830095834247967e-12,-13.316907701672399,-7.453749763352221,511901_mpc,mpc,***
514202_bpc_bpc,-10.385693797025013,1.1419248316068544,-9.09490144146426,9.467229676983631e-20,-12.623825340026414,-8.147562254023612,514202_bpc,bpc,***
513704_cec_cec,-10.395818875083341,1.010817755043528,-10.284562991907157,8.2716448351731755e-25,-12.376985269902287,-8.414652480264396,513704_cec,cec,***
512801_mpc_mpc,-10.527933535931341,1.2466978740337007,-8.444655080599544,3.0494449227739505e-17,-12.971416468640047,-8.084450603222635,512801_mpc,mpc,***
506802_bpc_bpc,-10.854002707493452,1.7127453569625664,-6.337195814526838,2.3398454450927364e-10,-14.21092192182828,-7.497083493158623,506802_bpc,bpc,***
505302_bpc_bpc,-10.863871722724499,0.9592383839783885,-11.325518144579648,9.809708807785418e-30,-12.743944407910544,-8.983799037538454,505302_bpc,bpc,***
505602_bpc_bpc,-10.924888418319433,1.2098935432974471,-9.02962783696218,1.7225661657314455e-19,-13.296236188309983,-8.553540648328884,505602_bpc,bpc,***
514402_bpc_bpc,-11.007731417055009,1.6808026486670633,-6.549092141058044,5.788790866530246e-11,-14.302044073561984,-7.713418760548035,514402_bpc,bpc,***
502202_bpc_bpc,-11.453408215248816,1.0272412886649538,-11.149676654969884,7.186704489517455e-29,-13.466764144464639,-9.440052286032993,502202_bpc,bpc,***
503302_bpc_bpc,-11.517933098472666,1.1423878320836698,-10.08233173970736,6.613766222974308e-24,-13.75697210573345,-9.278894091211882,503302_bpc,bpc,***
512201_mpc_mpc,-11.903332631516244,0.9692605812251709,-12.280838468092986,1.148022478930828e-34,-13.803048462351938,-10.00361680068055,512201_mpc,mpc,***
513602_bpc_bpc,-13.320501212470639,1.2613530312935515,-10.56048614622197,4.543028583086297e-26,-15.792707725596422,-10.848294699344855,513602_bpc,bpc,***
514302_bpc_bpc,-13.442798582575836,1.251649057740324,-10.740070069516861,6.599428013674494e-27,-15.895985657030366,-10.989611508121307,514302_bpc,bpc,***
513104_cec_cec,-13.626064981250124,1.4765067480993186,-9.228582936576972,2.7423577297400143e-20,-16.519965030455143,-10.732164932045105,513104_cec,cec,***
512401_mpc_mpc,-13.719923195566945,1.326247287556023,-10.344920833617458,4.412808597237332e-25,-16.319320113770686,-11.120526277363204,512401_mpc,mpc,***
508302_bpc_bpc,-14.13681695030447,1.0117149869322728,-13.973122008571007,2.2743403869676593e-44,-16.119741887311136,-12.153892013297803,508302_bpc,bpc,***
505702_bpc_bpc,-15.440983751998195,1.0825901524407082,-14.26300037663041,3.72105648358587e-46,-17.56282146079971,-13.31914604319668,505702_bpc,bpc,***
